sampletype;samplename;compiler;function;LOC;ABC;A;B;C;Cyclomatic_Complexity;Halstead_Volume;Halstead_Level;Halstead_Difficulty;Halstead_Effort;Halstead_Time;MIwoc;Single_MI;Myers_Interval;Information_Flow
compiled;addprime-softwaremetrics;prog_clang-oslatest-O0;all.csv;145;47.92702786528704;18;38;23;48;42117.00898518339;0.02635697;193.99999999999997;1597945.8031865058;88774.76684369477;23.966237222497583;-17.84229489;23;0
compiled;addprime.bc-softwaremetrics;prog_clang-oslatest-O0;all.csv;25;21;21;0;0;1;6317.343403623342;0.049971497;71;126418.93352433301;7023.2740846851675;73.11873057;7.526434599819794;0;0
compiled;addprime.map-softwaremetrics;prog_clang-oslatest-O0;all.csv;2307;1577.3170258384964;1433;458;474;459;8349648.1644363785;0.001057178;6381;7898055491.241224;438780860.62451243;-142.8941886;-102.8988243;474;0
compiled;addprime.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;85;24.49489742783178;10;20;10;28;16830.99983835659;0.036328394;128.5;463301.51561707014;25738.97308983723;41.98796563854114;-5.461333428;10;0
compiled;addprime_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;addprime_marked.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;12;4;4;0;0;9;44.36141956;0.16988451815864516;2;261.1269116;14.507050644580277;108.95418742698877;69.34993459508821;0;0
compiled;adler32hash-softwaremetrics;prog_clang-oslatest-O0;all.csv;139;41.12177038990418;21;31;17;40;40572.67706689584;0.026888624638219956;189.5;1508916.0421104298;83828.66901;26.685101553253958;-17.26902098;17;0
compiled;adler32hash_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;adler32hash_marked.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;12;4;4;0;0;9;44.36141956;0.16988451815864516;2;261.1269116;14.507050644580277;108.95418742698877;69.34993459508821;0;0
compiled;adler32hash_marked.s-softwaremetrics;prog_clang-oslatest-O0;all.csv;649;477.1425363557519;444;120;127;121;1033546.9089026705;0.003092415;1883;334220025.95591104;18567779.219772834;-33.74424665;-71.27310094;127;0
compiled;anagram-softwaremetrics;prog_clang-oslatest-O0;all.csv;241;67.83804242458652;25;56;29;78;111175.26258437075;0.015789037;371.5;7041294.683884682;391183.03799359343;3.7882011556091584;-32.67302615;29;0
compiled;anagram_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;76;24.779023386727733;11;18;13;27;13032.553288888092;0.052365539370593135;81;248876.52157378083;13826.473420765602;45.36105073846592;0.7528784484493656;13;0
compiled;anagram_marked.s-softwaremetrics;prog_clang-oslatest-O0;all.csv;198;136.1653406708183;126;36;37;37;163837.81277459316;0.008758233;572;18706719.49849653;1039262.1943609182;14.385586293653958;-42.44393349;37;0
compiled;areacircle-softwaremetrics;prog_clang-oslatest-O0;all.csv;113;35.14256678161116;13;29;15;38;28272.08720067905;0.034396693;141.5;821942.0099688484;45663.444998269355;32.37823988656734;-11.19425124;15;0
compiled;areacircle.bc-softwaremetrics;prog_clang-oslatest-O0;all.csv;23;19;19;0;0;1;5825.902053;0.052404546;68;111171.69211522187;6176.205117512326;74.89063425;8.811689389182945;0;0
compiled;areacircle_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;areacircle_marked.o-softwaremetrics;prog_clang-oslatest-O0;all.csv;12;4;4;0;0;9;44.36141956;0.16988451815864516;2;261.1269116;14.507050644580277;108.95418742698877;69.34993459508821;0;0
compiled;areacircle_marked.s-softwaremetrics;prog_clang-oslatest-O0;all.csv;3;1.4142135623730951;0;1;1;2;70.70101241711441;0.22417819017503748;4;315.3786385817074;17.521035476761522;130.59848948152305;67.46226055787196;1;0
