sampletype;samplename;compiler;function;LOC;ABC;A;B;C;Cyclomatic_Complexity;Halstead_Volume;Halstead_Level;Halstead_Difficulty;Halstead_Effort;Halstead_Time;MIwoc;Single_MI;Myers_Interval;Information_Flow
compiled;addprime-softwaremetrics;prog_clang-oslatest-O0;all.csv;145;47.92702786528704;18;38;23;48;42117.00898518339;0.02635697;193.99999999999997;1597945.8031865058;88774.76684369477;23.966237222497583;-17.84229489;23;0
compiled;addprime_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;adler32hash-softwaremetrics;prog_clang-oslatest-O0;all.csv;139;41.12177038990418;21;31;17;40;40572.67706689584;0.026888624638219956;189.5;1508916.0421104298;83828.66901;26.685101553253958;-17.26902098;17;0
compiled;adler32hash_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;anagram-softwaremetrics;prog_clang-oslatest-O0;all.csv;241;67.83804242458652;25;56;29;78;111175.26258437075;0.015789037;371.5;7041294.683884682;391183.03799359343;3.7882011556091584;-32.67302615;29;0
compiled;anagram_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;76;24.779023386727733;11;18;13;27;13032.553288888092;0.052365539370593135;81;248876.52157378083;13826.473420765602;45.36105073846592;0.7528784484493656;13;0
compiled;areacircle-softwaremetrics;prog_clang-oslatest-O0;all.csv;113;35.14256678161116;13;29;15;38;28272.08720067905;0.034396693;141.5;821942.0099688484;45663.444998269355;32.37823988656734;-11.19425124;15;0
compiled;areacircle_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;areasquare-softwaremetrics;prog_clang-oslatest-O0;all.csv;112;36.345563690772494;14;30;15;40;26894.110605725877;0.034784718187565955;138;773158.7894634537;42953.26608130298;32.32207273886502;-10.58239726;15;0
compiled;areasquare_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;areatriangle-softwaremetrics;prog_clang-oslatest-O0;all.csv;119;35.14256678161116;13;29;15;38;30492.930767193113;0.032297430001563376;152;944128.7051544684;52451.59473;31.146898592042106;-12.58017776;15;0
compiled;areatriangle_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;armstrongnumber-softwaremetrics;prog_clang-oslatest-O0;all.csv;148;49.52776998815917;18;40;23;51;42354.06532;0.026130668;194;1620856.6139781442;90047.58966545245;22.91529878282644;-17.98465342;23;0
compiled;armstrongnumber_marked-softwaremetrics;prog_clang-oslatest-O0;all.csv;69;24.779023386727733;11;18;13;27;10131.039191064161;0.059496534;67;170279.484;9459.971332647778;48.23600690264827;4.5480361043800315;13;0
compiled;automorphic-softwaremetrics;prog_clang-oslatest-O0;all.csv;145;44.93328387732194;17;37;19;50;43304.37010548259;0.027022129450952836;190;1602552.0928720003;89030.67182622224;23.361667430154952;-17.87107975;19;0
